ticker,signal_date,entry_date,entry,scoreable,fixed_exit_date,fixed_ret_pct,fixed_net_pct,ma_exit_date,ma_exit_reason,ma_weeks_held,ma_ret_pct,ma_net_pct
KOTAKBANK.NS,2026-01-19,2026-01-26,422.07,False,2026-08-10,-7.48,-7.78,2026-02-02,ma_break,1,-3.33,-3.63
KPEL.NS,2026-05-04,2026-05-11,406.9,False,2026-08-10,-36.2,-36.5,2026-07-20,ma_break,10,-22.13,-22.43
KPIGREEN.NS,2025-07-07,2025-07-14,521.3,True,2026-07-13,-21.43,-21.73,2025-09-29,ma_break,11,-13.78,-14.08
KPIL.NS,2019-02-25,2019-03-04,362.57,True,2020-03-02,-17.32,-17.62,2019-08-26,ma_break,25,16.47,16.17
KPIL.NS,2020-11-30,2020-12-07,313.98,True,2021-12-06,15.79,15.49,2021-08-23,ma_break,37,21.03,20.73
KPIL.NS,2022-08-22,2022-08-29,371.6,True,2023-08-28,72.62,72.32,2023-05-22,ma_break,38,35.42,35.12
KPIL.NS,2023-12-25,2024-01-01,688.59,True,2024-12-30,83.24,82.94,2024-10-28,ma_break,43,66.68,66.38
KPIL.NS,2025-06-23,2025-06-30,1210.3,True,2026-06-29,14.35,14.05,2025-12-01,ma_break,22,-1.8,-2.1
KPITTECH.NS,2020-08-03,2020-08-10,78.69,True,2021-08-09,307.85,307.55,2021-08-09,52w_cap,52,307.85,307.55
KPITTECH.NS,2024-04-29,2024-05-06,1512.61,True,2025-05-05,-19.02,-19.32,2024-05-13,ma_break,1,-4.75,-5.05
KPRMILL.NS,2017-12-25,2018-01-01,155.01,True,2018-12-31,-31.97,-32.27,2018-02-05,ma_break,5,-10.67,-10.97
KPRMILL.NS,2019-10-14,2019-10-21,117.04,True,2020-10-19,13.78,13.48,2020-03-02,ma_break,19,-2.54,-2.84
KPRMILL.NS,2022-08-15,2022-08-22,613.74,True,2023-08-21,12.21,11.91,2022-09-05,ma_break,2,-6.97,-7.27
KPRMILL.NS,2024-01-08,2024-01-15,777.91,True,2025-01-13,23.29,22.99,2024-02-12,ma_break,4,-4.43,-4.73
KPRMILL.NS,2025-03-17,2025-03-24,919.48,True,2026-03-23,-8.53,-8.83,2025-03-31,ma_break,1,-2.11,-2.41
KPRMILL.NS,2026-05-25,2026-06-01,989.68,False,2026-08-10,10.01,9.71,2026-08-10,52w_cap,10,10.01,9.71
KRBL.NS,2020-02-03,2020-02-10,268.58,True,2021-02-08,-32.11,-32.41,2020-03-16,ma_break,5,-20.63,-20.93
KRBL.NS,2021-09-27,2021-10-04,313.77,True,2022-10-03,17.38,17.08,2021-11-15,ma_break,6,-21.37,-21.67
KRBL.NS,2023-08-07,2023-08-14,397.82,True,2024-08-12,-27.82,-28.12,2023-10-23,ma_break,10,-9.5,-9.8
KRBL.NS,2025-02-03,2025-02-10,297.4,True,2026-02-09,22.43,22.13,2025-02-17,ma_break,1,-8.98,-9.28
KRBL.NS,2026-04-27,2026-05-04,368.5,False,2026-08-10,1.28,0.98,2026-05-18,ma_break,2,-8.58,-8.88
KRN.NS,2025-10-06,2025-10-13,845.0,False,2026-08-10,57.62,57.32,2025-11-03,ma_break,3,-6.72,-7.02
KRSNAA.NS,2023-08-28,2023-09-04,636.78,True,2024-09-02,16.96,16.66,2024-03-04,ma_break,26,3.77,3.47
KRSNAA.NS,2024-09-02,2024-09-09,752.44,True,2025-09-08,9.86,9.56,2025-02-17,ma_break,23,-3.19,-3.49
KSB.NS,2017-09-04,2017-09-11,141.19,True,2018-09-10,0.66,0.36,2018-02-12,ma_break,22,5.41,5.11
KSB.NS,2018-10-22,2018-10-29,147.88,True,2019-10-28,-12.27,-12.57,2018-11-05,ma_break,1,-1.12,-1.42
KSB.NS,2020-01-13,2020-01-20,136.18,True,2021-01-18,-3.63,-3.93,2020-03-02,ma_break,6,-7.23,-7.53
KSB.NS,2021-02-22,2021-03-01,142.03,True,2022-02-28,43.96,43.66,2022-02-07,ma_break,49,66.51,66.21
KSB.NS,2022-03-21,2022-03-28,238.22,True,2023-03-27,72.24,71.94,2023-01-23,ma_break,43,49.26,48.96
KSB.NS,2023-07-17,2023-07-24,429.88,True,2024-07-22,130.48,130.18,2024-07-22,52w_cap,52,130.48,130.18
KSB.NS,2025-05-26,2025-06-02,850.4,True,2026-06-01,-4.27,-4.57,2025-10-27,ma_break,21,-6.15,-6.45
KSCL.NS,2018-06-18,2018-06-25,543.35,True,2019-06-24,-19.33,-19.63,2018-10-08,ma_break,15,-13.06,-13.36
KSCL.NS,2019-09-09,2019-09-16,486.95,True,2020-09-14,14.37,14.07,2019-10-14,ma_break,4,-9.19,-9.49
KSCL.NS,2020-10-12,2020-10-19,525.04,True,2021-10-18,-2.88,-3.18,2020-11-02,ma_break,2,-7.31,-7.61
KSCL.NS,2022-05-30,2022-06-06,553.67,True,2023-06-05,-8.14,-8.44,2022-06-20,ma_break,2,-12.17,-12.47
KSCL.NS,2023-07-03,2023-07-10,552.34,True,2024-07-08,74.41,74.11,2024-04-01,ma_break,38,12.18,11.88
KSL.NS,2023-12-25,2024-01-01,470.07,True,2024-12-30,141.42,141.12,2024-08-12,ma_break,32,66.59,66.29
KSL.NS,2025-06-23,2025-06-30,912.31,True,2026-06-29,-4.41,-4.71,2025-09-29,ma_break,13,-14.97,-15.27
KTKBANK.NS,2017-08-21,2017-08-28,111.52,True,2018-08-27,-19.67,-19.97,2017-09-11,ma_break,2,-1.11,-1.41
KTKBANK.NS,2019-01-07,2019-01-14,87.22,True,2020-01-13,-33.28,-33.58,2019-05-20,ma_break,18,-2.49,-2.79
KTKBANK.NS,2021-01-04,2021-01-11,56.27,True,2022-01-10,3.96,3.66,2021-06-28,ma_break,24,-4.33,-4.63
KTKBANK.NS,2022-05-30,2022-06-06,58.36,True,2023-06-05,136.01,135.71,2023-04-17,ma_break,45,108.55,108.25
KTKBANK.NS,2024-04-01,2024-04-08,227.05,True,2025-04-07,-22.19,-22.49,2024-04-15,ma_break,1,-3.99,-4.29
KTKBANK.NS,2025-11-24,2025-12-01,214.7,False,2026-08-10,46.11,45.81,2026-01-26,ma_break,8,-16.6,-16.9
LALPATHLAB.NS,2018-03-12,2018-03-19,425.73,True,2019-03-18,20.04,19.74,2018-03-26,ma_break,1,-6.17,-6.47
LALPATHLAB.NS,2019-05-13,2019-05-20,513.89,True,2020-05-18,40.45,40.15,2020-03-23,ma_break,44,24.07,23.77
LALPATHLAB.NS,2020-12-21,2020-12-28,1100.85,True,2021-12-27,67.25,66.95,2021-12-13,ma_break,50,53.37,53.07
LALPATHLAB.NS,2023-09-18,2023-09-25,1138.95,True,2024-09-23,41.09,40.79,2024-01-29,ma_break,18,2.58,2.28
LALPATHLAB.NS,2025-07-21,2025-07-28,1520.61,True,2026-07-27,23.56,23.26,2025-12-01,ma_break,18,-0.3,-0.6
LANDMARK.NS,2023-12-11,2023-12-18,827.2,True,2024-12-16,-23.6,-23.9,2024-02-19,ma_break,9,-9.77,-10.07
LANDMARK.NS,2025-08-18,2025-08-25,569.45,False,2026-08-10,-3.76,-4.06,2025-12-01,ma_break,14,-6.69,-6.99
LAOPALA.NS,2017-11-27,2017-12-04,282.63,True,2018-12-03,-27.85,-28.15,2018-04-02,ma_break,17,-8.53,-8.83
LAOPALA.NS,2020-02-03,2020-02-10,178.82,True,2021-02-08,8.41,8.11,2020-03-23,ma_break,6,-22.36,-22.66
LAOPALA.NS,2021-05-17,2021-05-24,244.16,True,2022-05-23,0.82,0.52,2022-02-28,ma_break,40,25.45,25.15
LAOPALA.NS,2022-08-22,2022-08-29,317.51,True,2023-08-28,28.02,27.72,2023-01-30,ma_break,22,5.92,5.62
LAOPALA.NS,2023-09-18,2023-09-25,403.59,True,2024-09-23,-16.0,-16.3,2023-11-20,ma_break,8,-8.54,-8.84
LATENTVIEW.NS,2023-08-07,2023-08-14,393.9,True,2024-08-12,25.67,25.37,2024-03-18,ma_break,31,14.24,13.94
LATENTVIEW.NS,2025-11-10,2025-11-17,490.0,False,2026-08-10,-40.81,-41.11,2026-01-19,ma_break,9,-11.63,-11.93
LAURUSLABS.NS,2020-01-06,2020-01-13,78.06,True,2021-01-11,365.63,365.33,2020-03-23,ma_break,10,-11.1,-11.4
LAURUSLABS.NS,2022-03-07,2022-03-14,575.8,True,2023-03-13,-47.86,-48.16,2022-06-20,ma_break,14,-19.43,-19.73
LAURUSLABS.NS,2023-09-04,2023-09-11,409.42,True,2024-09-09,22.99,22.69,2023-10-30,ma_break,7,-12.99,-13.29
LAURUSLABS.NS,2024-09-09,2024-09-16,510.25,True,2025-09-15,82.34,82.04,2025-09-15,52w_cap,52,82.34,82.04
LEMONTREE.NS,2019-04-01,2019-04-08,79.95,True,2020-04-06,-77.61,-77.91,2019-05-13,ma_break,5,-11.19,-11.49
LEMONTREE.NS,2020-12-07,2020-12-14,45.15,True,2021-12-13,1.99,1.69,2021-04-12,ma_break,17,-24.7,-25.0
LEMONTREE.NS,2021-12-27,2022-01-03,46.3,True,2023-01-02,67.71,67.41,2022-12-26,ma_break,51,55.83,55.53
LEMONTREE.NS,2023-04-17,2023-04-24,85.25,True,2024-04-22,69.5,69.2,2024-04-22,52w_cap,52,69.5,69.2
LEMONTREE.NS,2024-12-09,2024-12-16,147.73,True,2025-12-15,8.19,7.89,2025-02-17,ma_break,9,-12.35,-12.65
LEMONTREE.NS,2025-12-15,2025-12-22,160.69,False,2026-08-10,-32.07,-32.37,2026-01-05,ma_break,2,-4.17,-4.47
LGBBROSLTD.NS,2022-12-26,2023-01-02,664.53,True,2024-01-01,84.48,84.18,2023-01-23,ma_break,3,1.01,0.71
LGBBROSLTD.NS,2024-03-18,2024-03-25,1166.32,True,2025-03-24,0.51,0.21,2024-06-03,ma_break,10,6.14,5.84
LGBBROSLTD.NS,2025-08-18,2025-08-25,1300.0,False,2026-08-10,23.26,22.96,2026-05-11,ma_break,37,29.38,29.08
LICHSGFIN.NS,2017-08-28,2017-09-04,591.43,True,2018-09-03,-25.9,-26.2,2017-09-11,ma_break,1,-2.79,-3.09
LICHSGFIN.NS,2019-03-18,2019-03-25,461.95,True,2020-03-23,-54.34,-54.64,2019-08-05,ma_break,19,-6.3,-6.6
LICHSGFIN.NS,2020-12-28,2021-01-04,346.83,True,2022-01-03,0.99,0.69,2021-08-02,ma_break,30,8.95,8.65
