ticker,signal_date,entry_date,ret_pct,win,idx_above_40wma,idx_off_52wk_high,idx_13wk_ret,idx_52wk_ret,idx_weeks_above_40wma,breadth,mrs,pct_above_ma30,ma30_slope_pct,pct_off_52wk_high,pct_above_52wk_low,vol_surge_x,prior_52wk_ret,weeks_above_ma30,mcap_cr,price,candle_bullish,candle_body_pct,candle_range_pct,range_expansion_x,close_position,body_share_of_range,gap_pct,weeks_listed,listing_censored,ma_break_week
FEDERALBNK.NS,2023-08-21,2023-08-28,38.16,False,True,-2.43,4.14,9.72,18,79,0.277,8.96,0.16,0.0,21.42,1.38,24.46,6,34102.0,138.55,True,4.88,7.59,1.73,0.695,0.645,0.0,448,True,21
FEDERALBNK.NS,2024-09-23,2024-09-30,-0.44,False,True,0.0,9.03,33.31,75,42,0.182,11.26,2.66,-4.33,39.63,0.97,32.38,35,47229.0,191.89,True,3.95,5.84,1.13,0.834,0.683,0.71,505,True,14
FEDFINA.NS,2025-06-09,2025-06-16,31.81,False,True,-5.58,10.36,5.34,8,115,0.873,21.42,0.08,-8.13,42.08,3.04,-3.82,3,4357.0,117.23,True,11.65,12.8,1.95,0.942,0.913,0.87,80,False,32
FEL.NS,2018-09-03,2018-09-10,-50.25,False,True,-0.78,7.63,16.65,23,26,0.275,25.19,-0.11,-10.94,36.45,1.71,-13.62,2,2415.0,48.85,True,3.39,17.1,1.89,0.842,0.219,0.32,189,True,2
FELDVR.NS,2018-09-03,2018-09-10,-49.88,False,True,-0.78,7.63,16.65,23,26,0.221,22.84,-0.1,-13.08,35.05,1.18,-13.31,2,2447.0,47.2,True,4.54,12.94,1.3,0.855,0.373,-1.1,189,True,2
FIEMIND.NS,2023-07-10,2023-07-17,41.21,False,True,0.0,9.74,21.9,12,38,0.04,7.61,-0.98,-7.54,27.82,0.91,25.6,12,2209.0,861.47,True,2.29,4.97,0.63,0.74,0.467,0.15,442,True,14
FIEMIND.NS,2025-04-21,2025-04-28,45.77,False,True,-8.17,4.1,7.22,1,35,0.529,2.38,-2.42,-12.13,34.52,1.3,27.29,1,3763.0,1467.52,True,5.98,10.82,1.4,0.805,0.567,1.56,535,True,0
FILATEX.NS,2022-08-08,2022-08-15,-32.84,False,True,-3.49,12.14,7.07,3,45,0.286,2.36,-0.71,-15.53,29.93,0.8,16.5,1,2505.0,57.04,True,2.8,7.95,0.78,0.629,0.36,-0.0,394,True,2
FILATEX.NS,2023-08-28,2023-09-04,29.37,False,True,-1.57,4.86,10.81,19,93,0.734,26.19,-0.24,-10.6,52.42,3.82,-11.45,5,2122.0,48.32,True,8.56,13.73,2.19,0.659,0.626,1.24,449,True,35
FILATEX.NS,2024-09-09,2024-09-16,-17.48,False,True,0.0,8.06,25.57,73,85,0.593,14.23,0.4,-5.09,50.48,2.43,48.22,4,2991.0,68.1,True,8.1,14.83,1.52,0.74,0.561,0.35,503,True,3
