ticker,signal_date,entry_date,entry,scoreable,fixed_exit_date,fixed_ret_pct,fixed_net_pct,ma_exit_date,ma_exit_reason,ma_weeks_held,ma_ret_pct,ma_net_pct
AMRUTANJAN.NS,2024-04-29,2024-05-06,765.13,True,2025-05-05,-10.44,-10.74,2024-10-28,ma_break,25,-6.55,-6.85
AMRUTANJAN.NS,2025-09-01,2025-09-08,767.21,False,2026-08-10,-36.35,-36.65,2025-11-24,ma_break,11,-9.95,-10.25
ANANDRATHI.NS,2025-02-17,2025-02-24,993.54,True,2026-02-23,54.49,54.19,2025-03-10,ma_break,2,-7.25,-7.55
ANANTRAJ.NS,2022-07-18,2022-07-25,71.97,True,2023-07-24,177.45,177.15,2023-07-24,52w_cap,52,177.45,177.15
ANANTRAJ.NS,2025-09-15,2025-09-22,643.34,False,2026-08-10,-4.46,-4.76,2025-12-08,ma_break,11,-18.27,-18.57
ANGELONE.NS,2021-09-27,2021-10-04,132.51,True,2022-10-03,6.75,6.45,2021-12-13,ma_break,10,-21.85,-22.15
ANGELONE.NS,2023-06-05,2023-06-12,142.51,True,2024-06-10,75.94,75.64,2024-03-18,ma_break,40,77.49,77.19
ANGELONE.NS,2024-10-14,2024-10-21,302.25,True,2025-10-20,-18.38,-18.68,2025-01-13,ma_break,12,-19.98,-20.28
ANGELONE.NS,2025-11-10,2025-11-17,270.67,False,2026-08-10,7.51,7.21,2025-12-15,ma_break,4,-6.49,-6.79
ANTELOPUS.NS,2026-02-09,2026-02-16,572.0,False,2026-08-10,40.24,39.94,2026-08-10,52w_cap,25,40.24,39.94
ANTHEM.NS,2026-07-13,2026-07-20,777.0,False,2026-08-10,13.05,12.75,2026-08-10,52w_cap,3,13.05,12.75
ANUP.NS,2026-06-15,2026-06-22,2256.0,False,2026-08-10,-17.11,-17.41,2026-08-10,ma_break,7,-17.07,-17.37
ANURAS.NS,2023-03-06,2023-03-13,747.41,True,2024-03-11,21.56,21.26,2023-09-18,ma_break,27,27.74,27.44
ANURAS.NS,2025-03-03,2025-03-10,784.44,True,2026-03-09,57.44,57.14,2025-04-14,ma_break,5,-10.5,-10.8
APARINDS.NS,2018-01-01,2018-01-08,762.41,True,2019-01-07,-26.43,-26.73,2018-02-05,ma_break,4,-16.47,-16.77
APARINDS.NS,2025-11-10,2025-11-17,9143.0,False,2026-08-10,96.87,96.57,2026-01-05,ma_break,7,-9.57,-9.87
APCOTEXIND.NS,2023-04-17,2023-04-24,514.46,True,2024-04-22,-16.9,-17.2,2023-07-31,ma_break,14,-11.34,-11.64
APCOTEXIND.NS,2025-11-10,2025-11-17,392.94,False,2026-08-10,53.1,52.8,2025-12-08,ma_break,3,-3.99,-4.29
APLAPOLLO.NS,2019-04-29,2019-05-06,148.8,True,2020-05-04,-17.9,-18.2,2019-08-05,ma_break,13,-12.79,-13.09
APLAPOLLO.NS,2023-06-05,2023-06-12,1217.39,True,2024-06-10,27.11,26.81,2024-01-01,ma_break,29,26.71,26.41
APLAPOLLO.NS,2024-12-16,2024-12-23,1562.45,True,2025-12-22,20.71,20.41,2025-02-03,ma_break,6,-4.61,-4.91
APLAPOLLO.NS,2026-08-03,2026-08-10,1974.9,False,2026-08-10,1.12,0.82,2026-08-10,52w_cap,0,1.12,0.82
APLLTD.NS,2018-03-26,2018-04-02,483.9,True,2019-04-01,0.33,0.03,2018-04-16,ma_break,2,-6.85,-7.15
APLLTD.NS,2019-11-04,2019-11-11,527.56,True,2020-11-09,72.93,72.63,2020-03-23,ma_break,19,-12.24,-12.54
APLLTD.NS,2023-06-26,2023-07-03,611.81,True,2024-07-01,55.78,55.48,2024-06-17,ma_break,50,39.9,39.6
APLLTD.NS,2024-07-01,2024-07-08,961.72,True,2025-07-07,-1.04,-1.34,2024-11-11,ma_break,18,6.78,6.48
APLLTD.NS,2026-06-29,2026-07-06,817.34,False,2026-08-10,2.97,2.67,2026-08-10,52w_cap,5,2.97,2.67
APOLLO.NS,2024-07-15,2024-07-22,118.35,True,2025-07-21,45.13,44.83,2024-08-12,ma_break,3,-4.64,-4.94
APOLLO.NS,2026-04-13,2026-04-20,287.0,False,2026-08-10,32.35,32.05,2026-08-10,52w_cap,16,32.35,32.05
APOLLOHOSP.NS,2018-08-13,2018-08-20,1156.76,True,2019-08-19,22.04,21.74,2018-09-24,ma_break,5,-11.32,-11.62
APOLLOHOSP.NS,2019-12-30,2020-01-06,1455.88,True,2021-01-04,73.13,72.83,2020-03-23,ma_break,11,-16.96,-17.26
